VOC	ESC mix	PRES	Group
B.1	0.021699302	1	A
B.1.1.7	0.02191411	1	A
B.1.351	0.022183125	1	A
P.1	0.020949333	1	A
AY	0.022173558	1	A
BA.1	0.024061222	0.610511484	A
BA.2	0.02177737	0.549021258	A
BA.4	0.024061222	0.516153763	A
BA.5	0.023058354	0.516153763	A
B.1	0.008933061	0.573062449	B
B.1.1.7	0.00930329	0.565828153	B
B.1.351	0.00930329	0.672822088	B
P.1	0.009222677	0.633756741	B
AY	0.009507251	0.554905013	B
BA.1	0.007770874	1	B
BA.2	0.007730902	0.859042811	B
BA.4	0.008290792	0.085363361	B
BA.5	0.008087864	0.085363361	B
B.1	0.025210867	0.839587707	C
B.1.1.7	0.026907113	0.842810404	C
B.1.351	0.024761468	0.431314736	C
P.1	0.024606246	0.406210477	C
AY	0.026178616	0.753716522	C
BA.1	0.018122103	0.349801051	C
BA.2	0.020282704	0.293811294	C
BA.4	0.021374872	0.018096927	C
BA.5	0.019031244	0.018096927	C
B.1	0.034711459	0.283886757	D1
B.1.1.7	0.035995123	0.281555615	D1
B.1.351	0.032030203	0.330356683	D1
P.1	0.032957505	0.311200185	D1
AY	0.034711459	0.228471537	D1
BA.1	0.021424727	0.740124088	D1
BA.2	0.02200815	1	D1
BA.4	0.031388763	0.298342502	D1
BA.5	0.038016032	0.298342502	D1
B.1	0.016837168	0.40691135	D2
B.1.1.7	0.017042096	0.410670737	D2
B.1.351	0.016431295	0.525609106	D2
P.1	0.016312222	0.49703924	D2
AY	0.017077742	0.407381605	D2
BA.1	0.026325519	0.577809111	D2
BA.2	0.025082905	0.705572508	D2
BA.4	0.033963165	1	D2
BA.5	0.03785443	1	D2
B.1	0.021823261	0.147866276	E1
B.1.1.7	0.022250037	0.149498396	E1
B.1.351	0.022553014	0.183275588	E1
P.1	0.021978116	0.172458868	E1
AY	0.022250037	0.14807499	E1
BA.1	0.013835208	0.220338232	E1
BA.2	0.014036831	0.155844474	E1
BA.4	0.016248508	0.208246967	E1
BA.5	0.01583407	0.208246967	E1
B.1	0.017821698	0.132280048	E2.1
B.1.1.7	0.017750845	0.133443362	E2.1
B.1.351	0.018385757	0.162199457	E2.1
P.1	0.017949238	0.152772012	E2.1
AY	0.017860591	0.127092615	E2.1
BA.1	0.008014295	0.66025564	E2.1
BA.2	0.008377332	0.586987765	E2.1
BA.4	0.009749406	0.187684238	E2.1
BA.5	0.009564482	0.187684238	E2.1
B.1	0.008972655	0.089048959	E2.2
B.1.1.7	0.008877309	0.090128903	E2.2
B.1.351	0.009532307	0.114578696	E2.2
P.1	0.008556027	0.107928147	E2.2
AY	0.008849759	0.083698623	E2.2
BA.1	0.003983781	0.243092123	E2.2
BA.2	0.004016573	0.219610152	E2.2
BA.4	0.004016573	0.084684386	E2.2
BA.5	0.004016573	0.084684386	E2.2
B.1	0.010941691	0.019571828	E3
B.1.1.7	0.0116448	0.01983602	E3
B.1.351	0.013116019	0.02543557	E3
P.1	0.01077719	0.023990859	E3
AY	0.010880419	0.019645141	E3
BA.1	0.010297272	0.011034737	E3
BA.2	0.009974181	0.005493576	E3
BA.4	0.012858292	0.009007702	E3
BA.5	0.012463626	0.009007702	E3
B.1	0.021641605	0.014909442	F1
B.1.1.7	0.021863883	0.014959128	F1
B.1.351	0.022067608	0.017763056	F1
P.1	0.022219158	0.016725922	F1
AY	0.021313415	0.014803691	F1
BA.1	0.002570972	0.0001298	F1
BA.2	0.002531051	0.000397299	F1
BA.4	0.002781572	0.000900677	F1
BA.5	0.002775141	0.000900677	F1
B.1	0.017878596	0.156302657	F2
B.1.1.7	0.018091801	0.158095753	F2
B.1.351	0.019564352	0.197461829	F2
P.1	0.017966685	0.185903598	F2
AY	0.017857437	0.156481184	F2
BA.1	0.010747202	0.058066278	F2
BA.2	0.010316192	0	F2
BA.4	0.010333576	0	F2
BA.5	0.010333576	0	F2
B.1	0.032565118	0.064468581	F3
B.1.1.7	0.032565118	0.063152557	F3
B.1.351	0.032668694	0.076537543	F3
P.1	0.031033163	0.069327229	F3
AY	0.032565118	0.064446525	F3
BA.1	0	0.015237997	F3
BA.2	0	0.011700709	F3
BA.4	0	0	F3
BA.5	0	0	F3
