Clade	ES	Rank	Pvalue
B.1	0.35678883191881	0.402366863905325	0.00028
B.1.1	0.406842315176609	0.519607843137255	0.00168
B.1.2	0.29619103771686	0.180851063829787	0.0421
B.1.177	0.375358000166216	0.127272727272727	0.00526
B.1.429	0.270661784682614	0.169811320754717	0.16304
B.1.351	0.166303309951069	0.75	0.70804
B.1.1.7	0.261319102214644	0.553072625698324	4E-05
B.1.526	0.229328816899571	0.779661016949153	0.3216
P.1	0.230769230769231	0.833333333333333	0.48164
AY.26	0.0826253502221763	0	0.76582
AY.5	0.103434259082561	0.854166666666667	0.64668
AY.4	0.207126773122013	0.335600907029478	0.00138
AY.122	0.210339786201313	0.146496815286624	0.09096
AY.98	0.0998291149898752	0.0208333333333333	0.62036
AY.44	0.351531309439997	0.356828193832599	6E-05
AY.47	0.258202024438936	0.569620253164557	0.08296
AY.25	0.125019428359028	0.858447488584475	0.27474
AY.3	0.326218019128179	0.308108108108108	0.00082
AY.43	0.285351135070436	0.550898203592814	0.01288
AY.39	0.20440485448124	0.833333333333333	0.17792
AY.103	0.15311147610695	0.436293436293436	0.10902
AY.100	0.217215986523602	0.147826086956522	0.12744
BA.1	0.232616355004399	0.335664335664336	0.04312
BA.1.17	0.417286177325821	0.19047619047619	0.19466
BA.1.18	0.333333333333333	0.814814814814815	0.25208
BA.1.15	0.215907870016213	0.714285714285714	0.2199
BA.1.1.18	0.225866206018993	0.188679245283019	0.28662
BA.1.17.2	0.345736452343439	0.201923076923077	0.00632
BA.1.1	0.3058903821322	0.566502463054187	0.00074
BA.1.15.1	0.332831247001284	0.181818181818182	0.17864
BA.2.3	0.168841289642463	0.390243902439024	0.54452
BA.2.9	0.267389856069492	0.453333333333333	0.09364
BA.2	0.325136560278698	0.419512195121951	0.0002
BA.2.12.1	0.345167828158757	0.551181102362205	0.0014
BA.4	0.464745788310945	0.394736842105263	0.02512
BA.4.1	0.367218855586454	0.125	0.0842
BA.5.1	0.432608001394135	0.309859154929577	0.0027
BA.5.5	0.352513704311474	0.166666666666667	0.08708
BA.5.2.1	0.324145258216468	0.2	0.03616
BA.5.2	0.273481084744684	0.36	0.1776
