Clade	TotalEvent	EscMut	DMSPositiveMut	Esc&DMSMut
B.1	618	303	237	111
B.1.1	271	131	105	43
B.1.2	275	146	108	53
B.1.177	292	147	85	42
B.1.429	127	73	35	19
B.1.351	25	11	5	2
B.1.1.7	2311	1299	639	285
B.1.526	114	52	30	15
P.1	70	31	23	13
AY.26	175	86	39	20
AY.5	219	96	51	21
AY.4	3768	1615	962	448
AY.122	452	205	118	50
AY.98	245	117	49	30
AY.44	929	406	247	100
AY.47	165	80	39	21
AY.25	730	332	204	98
AY.3	697	341	175	93
AY.43	552	259	144	66
AY.39	250	110	56	23
AY.103	1203	551	305	135
AY.100	332	160	80	36
BA.1	527	315	187	158
BA.1.17	48	31	20	16
BA.1.18	47	24	21	15
BA.1.20	47	21	19	12
BA.1.15	235	117	74	62
BA.1.1.18	96	50	26	21
BA.1.17.2	301	174	116	91
BA.1.1	1510	922	435	348
BA.1.15.1	73	43	34	28
BA.1.1.1	47	30	17	11
BA.2.10	45	26	19	11
BA.2.3	130	70	35	28
BA.2.9	220	130	78	53
BA.2	1495	917	524	381
BA.2.12.1	483	307	115	90
BA.4	91	64	9	4
BA.4.1	138	90	26	19
BA.5	61	40	12	8
BA.5.1	452	318	104	80
BA.5.5	138	87	20	13
BE.1	133	93	52	34
BA.5.6	110	81	18	12
BA.5.2.1	476	320	66	42
BA.5.2	512	366	96	79
BA.4.6	138	92	18	12
