Clade	A	B	C	D1	D2	E1	E2.1	E2.2	E3	F1	F2	F3
B.1	0.0598705501618123	0.0825242718446602	0.174757281553398	0.169902912621359	0.0792880258899676	0.0517799352750809	0.098705501618123	0.06957928802589	0.029126213592233	0.0647249190938511	0.0728155339805825	0.0647249190938511
B.1.1	0.0774907749077491	0.0516605166051661	0.158671586715867	0.129151291512915	0.0701107011070111	0.0516605166051661	0.0701107011070111	0.0479704797047971	0.033210332103321	0.0664206642066421	0.0774907749077491	0.0922509225092251
B.1.2	0.123636363636364	0.12	0.218181818181818	0.170909090909091	0.0545454545454545	0.0872727272727273	0.127272727272727	0.0763636363636364	0.04	0.0545454545454545	0.0581818181818182	0.0545454545454545
B.1.177	0.0856164383561644	0.0719178082191781	0.143835616438356	0.11986301369863	0.0547945205479452	0.0479452054794521	0.0753424657534247	0.0376712328767123	0.0616438356164384	0.0924657534246575	0.0958904109589041	0.0479452054794521
B.1.429	0.133858267716535	0.062992125984252	0.149606299212598	0.149606299212598	0.094488188976378	0.047244094488189	0.062992125984252	0.047244094488189	0.0551181102362205	0.0708661417322835	0.0708661417322835	0.062992125984252
B.1.351	0.08	0.12	0.08	0.08	0	0	0.04	0.04	0.08	0.08	0.08	0
B.1.1.7	0.122890523582865	0.0856771960190394	0.190826482042406	0.218520121159671	0.0765902206836867	0.0679359584595413	0.077022933794894	0.0445694504543488	0.0380787537862397	0.0688013846819559	0.0731285157940286	0.0527909995672869
B.1.526	0.087719298245614	0.0526315789473684	0.0789473684210526	0.149122807017544	0.0964912280701754	0.0526315789473684	0.043859649122807	0.0350877192982456	0.0350877192982456	0.105263157894737	0.087719298245614	0.0614035087719298
P.1	0.0571428571428571	0.0285714285714286	0.0857142857142857	0.1	0.0714285714285714	0	0.0571428571428571	0.0571428571428571	0.0857142857142857	0.1	0.0428571428571429	0.0714285714285714
AY.26	0.04	0.0457142857142857	0.102857142857143	0.24	0.211428571428571	0.04	0.0514285714285714	0.04	0.0228571428571429	0.04	0.04	0.04
AY.5	0.045662100456621	0.0410958904109589	0.127853881278539	0.159817351598174	0.123287671232877	0.0410958904109589	0.045662100456621	0.0273972602739726	0.0319634703196347	0.0182648401826484	0.0593607305936073	0.0639269406392694
AY.4	0.0421974522292994	0.0496284501061571	0.114915074309979	0.169851380042463	0.121815286624204	0.041932059447983	0.053343949044586	0.0453821656050955	0.0443205944798301	0.0445859872611465	0.0488322717622081	0.0451167728237792
AY.122	0.0575221238938053	0.0619469026548673	0.123893805309735	0.194690265486726	0.134955752212389	0.0331858407079646	0.0508849557522124	0.0530973451327434	0.0398230088495575	0.0398230088495575	0.0221238938053097	0.0530973451327434
AY.98	0.0775510204081633	0.0571428571428571	0.118367346938776	0.179591836734694	0.126530612244898	0.0612244897959184	0.0612244897959184	0.0653061224489796	0.0530612244897959	0.036734693877551	0.036734693877551	0.0530612244897959
AY.44	0.0624327233584499	0.0656620021528525	0.11194833153929	0.182992465016146	0.139935414424112	0.0344456404736276	0.0441334768568353	0.038751345532831	0.0355220667384284	0.0398277717976319	0.038751345532831	0.0452099031216362
AY.47	0.0787878787878788	0.0545454545454545	0.151515151515152	0.175757575757576	0.115151515151515	0.0545454545454545	0.0666666666666667	0.0545454545454545	0.0606060606060606	0.0303030303030303	0.0242424242424242	0.0484848484848485
AY.25	0.0561643835616438	0.063013698630137	0.112328767123288	0.180821917808219	0.124657534246575	0.0534246575342466	0.0534246575342466	0.0383561643835616	0.036986301369863	0.0479452054794521	0.0410958904109589	0.0438356164383562
AY.3	0.0731707317073171	0.0616929698708752	0.154949784791966	0.195121951219512	0.127690100430416	0.0416068866571019	0.0573888091822095	0.0559540889526542	0.054519368723099	0.0387374461979914	0.03012912482066	0.0473457675753228
AY.43	0.0670289855072464	0.0471014492753623	0.110507246376812	0.202898550724638	0.153985507246377	0.0271739130434783	0.0597826086956522	0.0543478260869565	0.0452898550724638	0.0380434782608696	0.0344202898550725	0.0344202898550725
AY.39	0.048	0.044	0.12	0.164	0.104	0.044	0.08	0.048	0.072	0.044	0.04	0.048
AY.103	0.0714879467996675	0.057356608478803	0.109725685785536	0.180382377389859	0.13383208645054	0.0365752285951787	0.0498753117206983	0.0440565253532835	0.0407315045719036	0.0374064837905237	0.0374064837905237	0.0515378221113882
AY.100	0.0542168674698795	0.0662650602409639	0.126506024096386	0.234939759036145	0.168674698795181	0.072289156626506	0.072289156626506	0.0512048192771084	0.0331325301204819	0.0512048192771084	0.0481927710843374	0.0240963855421687
BA.1	0.212523719165085	0.0834914611005693	0.256166982922201	0.269449715370019	0.0569259962049336	0.153700189753321	0.210626185958254	0.079696394686907	0.0284629981024668	0.0360531309297913	0.0303605313092979	0.0550284629981025
BA.1.17	0.291666666666667	0.104166666666667	0.270833333333333	0.291666666666667	0.0208333333333333	0.208333333333333	0.25	0.0625	0.0416666666666667	0.0416666666666667	0.0625	0.0208333333333333
BA.1.18	0.148936170212766	0.0425531914893617	0.127659574468085	0.234042553191489	0.0212765957446809	0.148936170212766	0.212765957446809	0.0851063829787234	0.0638297872340425	0.0638297872340425	0.0425531914893617	0.0851063829787234
BA.1.20	0.170212765957447	0.0851063829787234	0.191489361702128	0.276595744680851	0	0.170212765957447	0.25531914893617	0.127659574468085	0	0	0	0.0425531914893617
BA.1.15	0.136170212765957	0.0638297872340425	0.2	0.285106382978723	0.051063829787234	0.140425531914894	0.251063829787234	0.127659574468085	0.0170212765957447	0.051063829787234	0.051063829787234	0.0297872340425532
BA.1.1.18	0.229166666666667	0.0833333333333333	0.15625	0.208333333333333	0.0520833333333333	0.09375	0.135416666666667	0.104166666666667	0.0208333333333333	0.0416666666666667	0.03125	0.0833333333333333
BA.1.17.2	0.272425249169435	0.0930232558139535	0.249169435215947	0.18936877076412	0.0398671096345515	0.142857142857143	0.18936877076412	0.0830564784053156	0.00332225913621262	0.026578073089701	0.026578073089701	0.0598006644518272
BA.1.1	0.241059602649007	0.112582781456954	0.25364238410596	0.25364238410596	0.0562913907284768	0.136423841059603	0.208609271523179	0.105960264900662	0.0185430463576159	0.0384105960264901	0.0298013245033113	0.0536423841059603
BA.1.15.1	0.219178082191781	0.0821917808219178	0.26027397260274	0.232876712328767	0.0684931506849315	0.164383561643836	0.164383561643836	0.0273972602739726	0	0.0547945205479452	0.0547945205479452	0.0273972602739726
BA.1.1.1	0.382978723404255	0.212765957446809	0.191489361702128	0.319148936170213	0	0.319148936170213	0.297872340425532	0	0.0212765957446809	0	0.0212765957446809	0.106382978723404
BA.2.10	0.111111111111111	0.0222222222222222	0.2	0.311111111111111	0.0666666666666667	0.155555555555556	0.155555555555556	0.0666666666666667	0	0	0	0
BA.2.3	0.107692307692308	0.0615384615384615	0.253846153846154	0.223076923076923	0.0769230769230769	0.0923076923076923	0.0846153846153846	0.0538461538461538	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.0384615384615385
BA.2.9	0.0863636363636364	0.0772727272727273	0.204545454545455	0.259090909090909	0.127272727272727	0.118181818181818	0.15	0.0954545454545455	0.0363636363636364	0.00909090909090909	0.00909090909090909	0.0136363636363636
BA.2	0.119732441471572	0.0775919732441472	0.25685618729097	0.28695652173913	0.0876254180602007	0.120401337792642	0.149832775919732	0.0809364548494983	0.0147157190635452	0.0160535117056856	0.0127090301003344	0.0234113712374582
BA.2.12.1	0.0579710144927536	0.072463768115942	0.17184265010352	0.391304347826087	0.231884057971014	0.113871635610766	0.115942028985507	0.031055900621118	0.0372670807453416	0.0144927536231884	0.0269151138716356	0.0144927536231884
BA.4	0.0879120879120879	0.043956043956044	0.0769230769230769	0.461538461538462	0.362637362637363	0.197802197802198	0.164835164835165	0.010989010989011	0.021978021978022	0.021978021978022	0.010989010989011	0.043956043956044
BA.4.1	0.0579710144927536	0.0652173913043478	0.101449275362319	0.449275362318841	0.340579710144928	0.152173913043478	0.159420289855072	0.036231884057971	0.0217391304347826	0.0217391304347826	0.0144927536231884	0
BA.5	0.0655737704918033	0.0327868852459016	0.114754098360656	0.39344262295082	0.262295081967213	0.180327868852459	0.19672131147541	0.0491803278688525	0.0327868852459016	0.0163934426229508	0	0.0327868852459016
BA.5.1	0.0663716814159292	0.0685840707964602	0.0951327433628319	0.438053097345133	0.323008849557522	0.201327433628319	0.205752212389381	0.0464601769911504	0.0221238938053097	0.0199115044247788	0.0199115044247788	0.0154867256637168
BA.5.5	0.0217391304347826	0.0507246376811594	0.0797101449275362	0.405797101449275	0.318840579710145	0.181159420289855	0.13768115942029	0.0072463768115942	0.0289855072463768	0.0144927536231884	0.0144927536231884	0.0289855072463768
BE.1	0.0526315789473684	0.0601503759398496	0.135338345864662	0.496240601503759	0.293233082706767	0.24812030075188	0.255639097744361	0.0225563909774436	0.0300751879699248	0.0225563909774436	0.0075187969924812	0.0225563909774436
BA.5.6	0.109090909090909	0.0818181818181818	0.1	0.463636363636364	0.345454545454545	0.190909090909091	0.190909090909091	0.00909090909090909	0.0181818181818182	0	0.00909090909090909	0.0272727272727273
BA.5.2.1	0.100840336134454	0.0861344537815126	0.115546218487395	0.380252100840336	0.327731092436975	0.121848739495798	0.119747899159664	0.0294117647058824	0.0399159663865546	0.00840336134453781	0.00420168067226891	0.00630252100840336
BA.5.2	0.078125	0.05859375	0.087890625	0.462890625	0.318359375	0.21484375	0.212890625	0.029296875	0.0234375	0.01953125	0.021484375	0.0078125
BA.4.6	0.159420289855072	0.115942028985507	0.159420289855072	0.27536231884058	0.188405797101449	0.115942028985507	0.108695652173913	0.0144927536231884	0.036231884057971	0.0217391304347826	0.0217391304347826	0.0072463768115942
Random	0.048258706	0.036567164	0.048756219	0.057462687	0.040049751	0.0539801	0.051741294	0.049253731	0.057711443	0.052238806	0.046268657	0.054726368
