Group	Clade	A	B	C	D1	D2	E1	E2.1	E2.2	E3	F1	F2	F3
Others	B.1	0.058823529	0.081081081	0.171701113	0.166931638	0.077901431	0.050874404	0.096979332	0.06836248	0.028616852	0.063593005	0.07154213	0.063593005
Others	B.1.1	0.083665339	0.055776892	0.171314741	0.139442231	0.075697211	0.055776892	0.075697211	0.051792829	0.035856574	0.071713147	0.083665339	0.099601594
Others	B.1.2	0.104294479	0.101226994	0.18404908	0.144171779	0.04601227	0.073619632	0.107361963	0.064417178	0.033742331	0.04601227	0.049079755	0.04601227
Others	B.1.177	0.091575092	0.076923077	0.153846154	0.128205128	0.058608059	0.051282051	0.080586081	0.04029304	0.065934066	0.098901099	0.102564103	0.051282051
Others	B.1.429	0.1328125	0.0625	0.1484375	0.1484375	0.09375	0.046875	0.0625	0.046875	0.0546875	0.0703125	0.0703125	0.0625
Others	B.1.351	0.117647059	0.176470588	0.117647059	0.117647059	0	0	0.058823529	0.058823529	0.117647059	0.117647059	0.117647059	0
Others	B.1.1.7	0.11003487	0.076714452	0.170864006	0.195660597	0.068578071	0.060829136	0.068965517	0.039907013	0.034095312	0.061604029	0.065478497	0.047268501
Others	B.1.526	0.099009901	0.059405941	0.089108911	0.168316832	0.108910891	0.059405941	0.04950495	0.03960396	0.03960396	0.118811881	0.099009901	0.069306931
Others	P.1	0.075471698	0.037735849	0.113207547	0.132075472	0.094339623	0	0.075471698	0.075471698	0.113207547	0.132075472	0.056603774	0.094339623
Delta	AY.26	0.04375	0.05	0.1125	0.2625	0.23125	0.04375	0.05625	0.04375	0.025	0.04375	0.04375	0.04375
Delta	AY.5	0.058139535	0.052325581	0.162790698	0.203488372	0.156976744	0.052325581	0.058139535	0.034883721	0.040697674	0.023255814	0.075581395	0.081395349
Delta	AY.4	0.051340006	0.060381014	0.139812722	0.206651598	0.148207943	0.051017113	0.064901518	0.055214724	0.053923151	0.054246045	0.059412335	0.054891831
Delta	AY.122	0.066496164	0.071611253	0.143222506	0.225063939	0.15601023	0.038363171	0.058823529	0.061381074	0.046035806	0.046035806	0.025575448	0.061381074
Delta	AY.98	0.083700441	0.061674009	0.127753304	0.193832599	0.136563877	0.066079295	0.066079295	0.070484581	0.057268722	0.039647577	0.039647577	0.057268722
Delta	AY.44	0.074358974	0.078205128	0.133333333	0.217948718	0.166666667	0.041025641	0.052564103	0.046153846	0.042307692	0.047435897	0.046153846	0.053846154
Delta	AY.47	0.086092715	0.059602649	0.165562914	0.19205298	0.125827815	0.059602649	0.072847682	0.059602649	0.066225166	0.033112583	0.026490066	0.052980132
Delta	AY.25	0.065916399	0.073954984	0.131832797	0.21221865	0.146302251	0.062700965	0.062700965	0.045016077	0.04340836	0.056270096	0.048231511	0.051446945
Delta	AY.3	0.077981651	0.065749235	0.165137615	0.20795107	0.136085627	0.044342508	0.06116208	0.059633028	0.058103976	0.041284404	0.032110092	0.050458716
Delta	AY.43	0.076604555	0.053830228	0.126293996	0.231884058	0.175983437	0.031055901	0.068322981	0.062111801	0.051759834	0.043478261	0.039337474	0.039337474
Delta	AY.39	0.056074766	0.051401869	0.140186916	0.191588785	0.121495327	0.051401869	0.093457944	0.056074766	0.08411215	0.051401869	0.046728972	0.056074766
Delta	AY.103	0.084066471	0.06744868	0.129032258	0.212121212	0.157380254	0.043010753	0.058651026	0.051808407	0.047898338	0.04398827	0.04398827	0.060606061
Delta	AY.100	0.054054054	0.066066066	0.126126126	0.234234234	0.168168168	0.072072072	0.072072072	0.051051051	0.033033033	0.051051051	0.048048048	0.024024024
BAA	BA.1	0.144329897	0.056701031	0.173969072	0.182989691	0.038659794	0.104381443	0.143041237	0.054123711	0.019329897	0.024484536	0.020618557	0.037371134
BAA	BA.1.17	0.175	0.0625	0.1625	0.175	0.0125	0.125	0.15	0.0375	0.025	0.025	0.0375	0.0125
BAA	BA.1.18	0.116666667	0.033333333	0.1	0.183333333	0.016666667	0.116666667	0.166666667	0.066666667	0.05	0.05	0.033333333	0.066666667
BAA	BA.1.20	0.129032258	0.064516129	0.14516129	0.209677419	0	0.129032258	0.193548387	0.096774194	0	0	0	0.032258065
BAA	BA.1.15	0.096969697	0.045454545	0.142424242	0.203030303	0.036363636	0.1	0.178787879	0.090909091	0.012121212	0.036363636	0.036363636	0.021212121
BAA	BA.1.1.18	0.18487395	0.067226891	0.12605042	0.168067227	0.042016807	0.075630252	0.109243697	0.084033613	0.016806723	0.033613445	0.025210084	0.067226891
BAA	BA.1.17.2	0.198067633	0.06763285	0.18115942	0.137681159	0.028985507	0.103864734	0.137681159	0.060386473	0.002415459	0.019323671	0.019323671	0.043478261
BAA	BA.1.1	0.159789289	0.074626866	0.168129939	0.168129939	0.037313433	0.090430202	0.138279192	0.07023705	0.012291484	0.025460931	0.01975417	0.035557507
BAA	BA.1.15.1	0.161616162	0.060606061	0.191919192	0.171717172	0.050505051	0.121212121	0.121212121	0.02020202	0	0.04040404	0.04040404	0.02020202
BAA	BA.1.1.1	0.204545455	0.113636364	0.102272727	0.170454545	0	0.170454545	0.159090909	0	0.011363636	0	0.011363636	0.056818182
BAB	BA.2.10	0.102040816	0.020408163	0.183673469	0.285714286	0.06122449	0.142857143	0.142857143	0.06122449	0	0	0	0
BAB	BA.2.3	0.106060606	0.060606061	0.25	0.21969697	0.075757576	0.090909091	0.083333333	0.053030303	0.007575758	0.007575758	0.007575758	0.037878788
BAB	BA.2.9	0.072796935	0.0651341	0.172413793	0.218390805	0.107279693	0.099616858	0.126436782	0.08045977	0.030651341	0.007662835	0.007662835	0.011494253
