Ind	Clade	Percent	Type
1	B.1	0.160194175	top5
2	B.1.1	0.199261993	top5
3	B.1.2	0.210909091	top5
4	B.1.177	0.191780822	top5
5	B.1.429	0.220472441	top5
6	B.1.351	0.32	top5
7	B.1.1.7	0.142795327	top5
8	B.1.526	0.184210526	top5
9	P.1	0.171428571	top5
10	AY.26	0.274285714	top5
11	AY.5	0.196347032	top5
12	AY.4	0.173301486	top5
13	AY.122	0.174778761	top5
14	AY.98	0.228571429	top5
15	AY.44	0.208826695	top5
16	AY.47	0.193939394	top5
17	AY.25	0.17260274	top5
18	AY.3	0.190817791	top5
19	AY.43	0.217391304	top5
20	AY.39	0.164	top5
21	AY.103	0.187032419	top5
22	AY.100	0.201807229	top5
23	BA.1	0.30170778	top5
24	BA.1.17	0.416666667	top5
25	BA.1.18	0.255319149	top5
26	BA.1.20	0.404255319	top5
27	BA.1.15	0.323404255	top5
28	BA.1.1.18	0.229166667	top5
29	BA.1.17.2	0.265780731	top5
30	BA.1.1	0.276821192	top5
31	BA.1.15.1	0.356164384	top5
32	BA.1.1.1	0.489361702	top5
33	BA.2.10	0.377777778	top5
34	BA.2.3	0.338461538	top5
35	BA.2.9	0.186363636	top5
36	BA.2	0.210033445	top5
37	BA.2.12.1	0.287784679	top5
38	BA.4	0.32967033	top5
39	BA.4.1	0.297101449	top5
40	BA.5	0.31147541	top5
41	BA.5.1	0.309734513	top5
42	BA.5.5	0.268115942	top5
43	BE.1	0.30075188	top5
44	BA.5.6	0.318181818	top5
45	BA.5.2.1	0.256302521	top5
46	BA.5.2	0.29296875	top5
47	BA.4.6	0.217391304	top5
1	B.1	0.101941748	top3
2	B.1.1	0.132841328	top3
3	B.1.2	0.141818182	top3
4	B.1.177	0.130136986	top3
5	B.1.429	0.165354331	top3
6	B.1.351	0.24	top3
7	B.1.1.7	0.089138901	top3
8	B.1.526	0.131578947	top3
9	P.1	0.114285714	top3
10	AY.26	0.228571429	top3
11	AY.5	0.146118721	top3
12	AY.4	0.130838641	top3
13	AY.122	0.139380531	top3
14	AY.98	0.167346939	top3
15	AY.44	0.160387513	top3
16	AY.47	0.145454545	top3
17	AY.25	0.128767123	top3
18	AY.3	0.144906743	top3
19	AY.43	0.168478261	top3
20	AY.39	0.124	top3
21	AY.103	0.141313383	top3
22	AY.100	0.153614458	top3
23	BA.1	0.208728653	top3
24	BA.1.17	0.3125	top3
25	BA.1.18	0.170212766	top3
26	BA.1.20	0.276595745	top3
27	BA.1.15	0.234042553	top3
28	BA.1.1.18	0.15625	top3
29	BA.1.17.2	0.215946844	top3
30	BA.1.1	0.185430464	top3
31	BA.1.15.1	0.287671233	top3
32	BA.1.1.1	0.361702128	top3
33	BA.2.10	0.266666667	top3
34	BA.2.3	0.253846154	top3
35	BA.2.9	0.127272727	top3
36	BA.2	0.153177258	top3
37	BA.2.12.1	0.192546584	top3
38	BA.4	0.241758242	top3
39	BA.4.1	0.224637681	top3
40	BA.5	0.213114754	top3
41	BA.5.1	0.223451327	top3
42	BA.5.5	0.188405797	top3
43	BE.1	0.22556391	top3
44	BA.5.6	0.227272727	top3
45	BA.5.2.1	0.18697479	top3
46	BA.5.2	0.21484375	top3
47	BA.4.6	0.137681159	top3
1	B.1	0.270226537	top10
2	B.1.1	0.317343173	top10
3	B.1.2	0.32	top10
4	B.1.177	0.297945205	top10
5	B.1.429	0.322834646	top10
6	B.1.351	0.52	top10
7	B.1.1.7	0.245781047	top10
8	B.1.526	0.271929825	top10
9	P.1	0.314285714	top10
10	AY.26	0.371428571	top10
11	AY.5	0.287671233	top10
12	AY.4	0.252919321	top10
13	AY.122	0.252212389	top10
14	AY.98	0.33877551	top10
15	AY.44	0.292787944	top10
16	AY.47	0.296969697	top10
17	AY.25	0.256164384	top10
18	AY.3	0.281205165	top10
19	AY.43	0.304347826	top10
20	AY.39	0.248	top10
21	AY.103	0.272651704	top10
22	AY.100	0.295180723	top10
23	BA.1	0.423149905	top10
24	BA.1.17	0.5625	top10
25	BA.1.18	0.425531915	top10
26	BA.1.20	0.595744681	top10
27	BA.1.15	0.442553191	top10
28	BA.1.1.18	0.385416667	top10
29	BA.1.17.2	0.362126246	top10
30	BA.1.1	0.416556291	top10
31	BA.1.15.1	0.493150685	top10
32	BA.1.1.1	0.70212766	top10
33	BA.2.10	0.511111111	top10
34	BA.2.3	0.492307692	top10
35	BA.2.9	0.313636364	top10
36	BA.2	0.315719064	top10
37	BA.2.12.1	0.414078675	top10
38	BA.4	0.494505495	top10
39	BA.4.1	0.420289855	top10
40	BA.5	0.491803279	top10
41	BA.5.1	0.438053097	top10
42	BA.5.5	0.420289855	top10
43	BE.1	0.458646617	top10
44	BA.5.6	0.490909091	top10
45	BA.5.2.1	0.394957983	top10
46	BA.5.2	0.4375	top10
47	BA.4.6	0.362318841	top10
