Clade	Mut	Percent
B.1	ZOther	0.0689655172413793
B.1.1	ZOther	0.0798479087452472
B.1.2	ZOther	0.0847564832384567
B.1.177	ZOther	0.0852760736196319
B.1.429	ZOther	0.0832
B.1.351	ZOther	0.112299465240642
B.1.1.7	ZOther	0.0728196443691787
B.1.526	ZOther	0.104651162790698
P.1	ZOther	0.0957854406130268
AY.26	ZOther	0.0833333333333333
AY.5	ZOther	0.082512315270936
AY.4	ZOther	0.0618063112078346
AY.122	ZOther	0.0758776896942242
AY.98	ZOther	0.0913140311804009
AY.44	ZOther	0.0686480799579169
AY.47	ZOther	0.0731707317073171
AY.25	ZOther	0.0628537384569556
AY.3	ZOther	0.0703265159669896
AY.43	ZOther	0.096136567834681
AY.39	ZOther	0.0765957446808511
AY.103	ZOther	0.0607497741644083
AY.100	ZOther	0.0699685534591195
BA.1	ZOther	0.0796632124352332
BA.1.17	ZOther	0.103343465045593
BA.1.18	ZOther	0.163076923076923
BA.1.20	ZOther	0.112903225806452
BA.1.15	ZOther	0.14777878513146
BA.1.1.18	ZOther	0.0795631825273011
BA.1.17.2	ZOther	0.0795671546785487
BA.1.1	ZOther	0.0745598057073467
BA.1.15.1	ZOther	0.0918367346938776
BA.1.1.1	ZOther	0.136807817589577
BA.2.10	ZOther	0.140845070422535
BA.2.3	ZOther	0.103386809269162
BA.2.9	ZOther	0.193399339933993
BA.2	ZOther	0.0935389464205313
BA.2.12.1	ZOther	0.0819602872834812
BA.4	ZOther	0.105398457583548
BA.4.1	ZOther	0.0847145488029466
BA.5	ZOther	0.112903225806452
BA.5.1	ZOther	0.0885733603786342
BA.5.5	ZOther	0.0976027397260274
BE.1	ZOther	0.0994764397905759
BA.5.6	ZOther	0.0904109589041096
BA.5.2.1	ZOther	0.0792718731650029
BA.5.2	ZOther	0.0870217554388597
BA.4.6	ZOther	0.0969162995594714
