Clade	Mut	Percent
B.1	ZOther	0.0451595083551996
B.1.1	ZOther	0.0423679628554846
B.1.2	ZOther	0.0441347270615563
B.1.177	ZOther	0.0395982783357245
B.1.429	ZOther	0.0647249190938511
B.1.351	ZOther	0.0672514619883041
B.1.1.7	ZOther	0.0388795416306671
B.1.526	ZOther	0.0512987012987013
P.1	ZOther	0.0612033195020747
AY.26	ZOther	0.0516870064608758
AY.5	ZOther	0.0422898401237751
AY.4	ZOther	0.0344091196198153
AY.122	ZOther	0.042721923765669
AY.98	ZOther	0.044256120527307
AY.44	ZOther	0.0389749702026222
AY.47	ZOther	0.0412451361867704
AY.25	ZOther	0.0373575652675609
AY.3	ZOther	0.0458186478692727
AY.43	ZOther	0.0454100606772362
AY.39	ZOther	0.0455602045560205
AY.103	ZOther	0.0447476385841046
AY.100	ZOther	0.0426850258175559
BA.1	ZOther	0.0397208803005904
BA.1.17	ZOther	0.0573476702508961
BA.1.18	ZOther	0.128526645768025
BA.1.20	ZOther	0.072562358276644
BA.1.15	ZOther	0.0516478111165765
BA.1.1.18	ZOther	0.047569803516029
BA.1.17.2	ZOther	0.052596089008766
BA.1.1	ZOther	0.0438027744270205
BA.1.15.1	ZOther	0.045510455104551
BA.1.1.1	ZOther	0.0673267326732673
BA.2.10	ZOther	0.0782608695652174
BA.2.3	ZOther	0.0671140939597315
BA.2.9	ZOther	0.0465208747514911
BA.2	ZOther	0.0445091514143095
BA.2.12.1	ZOther	0.0423197492163009
BA.4	ZOther	0.0603864734299517
BA.4.1	ZOther	0.0542279411764706
BA.5	ZOther	0.0554621848739496
BA.5.1	ZOther	0.042750450682462
BA.5.5	ZOther	0.0426008968609865
BE.1	ZOther	0.0510869565217391
BA.5.6	ZOther	0.0539273153575615
BA.5.2.1	ZOther	0.0408842405514619
BA.5.2	ZOther	0.0518624641833811
BA.4.6	ZOther	0.0440771349862259
