NMDC60013088-01	B	NMDC60013088-01	2019-12-30
NMDC60013090-01	B	NMDC60013090-01	2019-12-30
GWHABKF00000001	B	GWHABKF00000001	2019-12-24
GWHABKG00000001	B	GWHABKG00000001	2019-12-30
GWHABKH00000001	B	GWHABKH00000001	2019-12-30
NMDC60013086-01	B	NMDC60013086-01	2019-12-30
CNA0007332	B	CNA0007332	2019-12-26
NMDC60013002-10	B	NMDC60013002-10	2019-12-30
NMDC60013002-06	B	NMDC60013002-06	2019-12-30
GWHABKK00000001	B	GWHABKK00000001	2019-12-30
GWHABKM00000001	B	GWHABKM00000001	2019-12-30
GWHABKO00000001	B	GWHABKO00000001	2019-12-30
EPI_ISL_434534	B	EPI_ISL_434534	2019-12-30
GWHABKZ01000001	A	GWHABKZ01000001	2019-12-30
GWHACAU01000001	B	GWHACAU01000001	2019-12-30
MN938384.1	A	MN938384.1	2020-01-10
MN997409.1	A	MN997409.1	2020-01-22
MN994468.1	B	MN994468.1	2020-01-22
MT027063.1	B	MT027063.1	2020-01-29
MN988713.1	A	MN988713.1	2020-01-21
MN985325.1	A	MN985325.1	2020-01-19
MT246667.1	A	MT246667.1	2020-01-19
EPI_ISL_407893	A	EPI_ISL_407893	2020-01-24
NMDC60013080-01	A	NMDC60013080-01	2020-01-18
EPI_ISL_413015	B	EPI_ISL_413015	2020-01-23
NMDC60013014-01	B	NMDC60013014-01	2020-01-22
EPI_ISL_406596	B	EPI_ISL_406596	2020-01-23
EPI_ISL_406597	B	EPI_ISL_406597	2020-01-23
EPI_ISL_411220	B	EPI_ISL_411220	2020-01-28
EPI_ISL_411060	A	EPI_ISL_411060	2020-01-21
NMDC60013006-01	A	NMDC60013006-01	2020-01-15
NMDC60013008-01	A	NMDC60013008-01	2020-01-15
NMDC60013010-01	B	NMDC60013010-01	2020-01-18
NMDC60013012-01	B	NMDC60013012-01	2020-01-22
EPI_ISL_411950	B	EPI_ISL_411950	2020-01-23
NMDC60013089-01	B	NMDC60013089-01	2020-01-08
NMDC60013077-01	B.4	NMDC60013077-01	2020-01-19
EPI_ISL_406593	A	EPI_ISL_406593	2020-01-13
EPI_ISL_406595	B	EPI_ISL_406595	2020-01-16
EPI_ISL_407987	B	EPI_ISL_407987	2020-01-25
EPI_ISL_408976	B	EPI_ISL_408976	2020-01-22
EPI_ISL_406031	B	EPI_ISL_406031	2020-01-23
MT044258.1	B	MT044258.1	2020-01-27
MT020881.1	A	MT020881.1	2020-01-25
EPI_ISL_408668	A	EPI_ISL_408668	2020-01-24
NMDC60013094-01	A	NMDC60013094-01	2020-01-18
NMDC60013096-01	B.4	NMDC60013096-01	2020-01-18
NMDC60013085-01	B	NMDC60013085-01	2020-01-01
NMDC60013002-09	B	NMDC60013002-09	2020-01-01
NMDC60013076-01	B	NMDC60013076-01	2020-01-18
EPI_ISL_408430	B	EPI_ISL_408430	2020-01-29
CNA0013697	B	CNA0013697	2020-01-26
CNA0013699	B	CNA0013699	2020-01-29
CNA0013701	B	CNA0013701	2020-01-31
CNA0013703	B	CNA0013703	2020-01-28
CNA0013705	B	CNA0013705	2020-01-29
EPI_ISL_417030	A	EPI_ISL_417030	2020-01-24
EPI_ISL_430736	B	EPI_ISL_430736	2020-01-29
EPI_ISL_430734	B	EPI_ISL_430734	2020-01-24
EPI_ISL_452363	B	EPI_ISL_452363	2020-01-31
EPI_ISL_416316	A	EPI_ISL_416316	2020-01-25
EPI_ISL_416318	A	EPI_ISL_416318	2020-01-28
EPI_ISL_416320	B	EPI_ISL_416320	2020-01-28
EPI_ISL_416322	B	EPI_ISL_416322	2020-01-29
EPI_ISL_416324	B	EPI_ISL_416324	2020-01-29
EPI_ISL_416332	B.4	EPI_ISL_416332	2020-01-30
EPI_ISL_416352	A	EPI_ISL_416352	2020-01-30
EPI_ISL_416366	A	EPI_ISL_416366	2020-01-30
EPI_ISL_416390	B	EPI_ISL_416390	2020-01-31
CNA0013889	B	CNA0013889	2020-01-26
CNA0013887	B	CNA0013887	2020-01-27
EPI_ISL_940542	B	EPI_ISL_940542	2020-01-29
EPI_ISL_421242	A	EPI_ISL_421242	2020-01-25
NMDC60013027-01	A	NMDC60013027-01	2020-01-30
NMDC60013025-01	A	NMDC60013025-01	2020-01-30
NMDC60013104-01	B	NMDC60013104-01	2020-01-29
NMDC60013106-01	A	NMDC60013106-01	2020-01-21
NMDC60013108-01	B	NMDC60013108-01	2020-01-30
NMDC60013112-01	A	NMDC60013112-01	2020-01-20
NMDC60013128-01	B	NMDC60013128-01	2020-01-24
NMDC60013130-01	B	NMDC60013130-01	2020-01-26
NMDC60013133-01	A	NMDC60013133-01	2020-01-27
NMDC60013135-01	B	NMDC60013135-01	2020-01-28
NMDC60013137-01	B	NMDC60013137-01	2020-01-28
NMDC60013139-01	A	NMDC60013139-01	2020-01-28
CNA0013948	B	CNA0013948	2020-01-29
CNA0013950	B	CNA0013950	2020-01-29
CNA0013954	B	CNA0013954	2020-01-27
NMDC60013277	B	NMDC60013277	2020-01-29
NMDC60013283	A	NMDC60013283	2020-01-31
EPI_ISL_421236	B	EPI_ISL_421236	2020-01-20
EPI_ISL_421234	B	EPI_ISL_421234	2020-01-21
EPI_ISL_416042	A	EPI_ISL_416042	2020-01-26
EPI_ISL_416473	A	EPI_ISL_416473	2020-01-26
EPI_ISL_417064	B	EPI_ISL_417064	2020-01-21
EPI_ISL_497797	B	EPI_ISL_497797	2020-01-29
EPI_ISL_497860	B	EPI_ISL_497860	2020-01-25
EPI_ISL_539339	B	EPI_ISL_539339	2020-01-29
EPI_ISL_539334	B	EPI_ISL_539334	2020-01-25
EPI_ISL_539336	B	EPI_ISL_539336	2020-01-27
EPI_ISL_407084	B	EPI_ISL_407084	2020-01-25
EPI_ISL_479799	B.12	EPI_ISL_479799	2020-01-20
EPI_ISL_408665	A	EPI_ISL_408665	2020-01-29
EPI_ISL_408667	A	EPI_ISL_408667	2020-01-31
EPI_ISL_421256	B	EPI_ISL_421256	2020-01-27
EPI_ISL_495459	B	EPI_ISL_495459	2020-01-24
EPI_ISL_429853	B	EPI_ISL_429853	2020-01-28
EPI_ISL_455790	A	EPI_ISL_455790	2020-01-30
EPI_ISL_416866	B	EPI_ISL_416866	2020-01-24
