Clade	Mut	Percent
B.1	ZOther	0.0534332688588008
B.1.1	ZOther	0.0577019568489714
B.1.2	ZOther	0.0671178793006204
B.1.177	ZOther	0.0615534929164631
B.1.429	ZOther	0.0782361308677098
B.1.351	ZOther	0.114583333333333
B.1.1.7	ZOther	0.069779689282893
B.1.526	ZOther	0.0742009132420091
P.1	ZOther	0.0656303972366149
AY.26	ZOther	0.0933333333333333
AY.5	ZOther	0.0705128205128205
AY.4	ZOther	0.0523403990800025
AY.122	ZOther	0.0675013609145346
AY.98	ZOther	0.0662983425414365
AY.44	ZOther	0.0554758488761358
AY.47	ZOther	0.0625954198473282
AY.25	ZOther	0.0594059405940594
AY.3	ZOther	0.071029776674938
AY.43	ZOther	0.0580860844128709
AY.39	ZOther	0.0628930817610063
AY.103	ZOther	0.0593322606596943
AY.100	ZOther	0.0615275813295615
BA.1	ZOther	0.0626410835214447
BA.1.17	ZOther	0.0916030534351145
BA.1.18	ZOther	0.0727272727272727
BA.1.20	ZOther	0.0684931506849315
BA.1.15	ZOther	0.0837520938023451
BA.1.1.18	ZOther	0.056786703601108
BA.1.17.2	ZOther	0.0747210092188258
BA.1.1	ZOther	0.0602962653870227
BA.1.15.1	ZOther	0.0712589073634204
BA.1.1.1	ZOther	0.08
BA.2.10	ZOther	0.0801033591731266
BA.2.3	ZOther	0.0772200772200772
BA.2.9	ZOther	0.0702247191011236
BA.2	ZOther	0.0585349348671967
BA.2.12.1	ZOther	0.0623649274467428
BA.4	ZOther	0.0906515580736544
BA.4.1	ZOther	0.0614035087719298
BA.5	ZOther	0.0818181818181818
BA.5.1	ZOther	0.065470417070805
BA.5.5	ZOther	0.0631443298969072
BE.1	ZOther	0.0638297872340425
BA.5.6	ZOther	0.0884955752212389
BA.5.2.1	ZOther	0.0605349601126232
BA.5.2	ZOther	0.0596221959858323
BA.4.6	ZOther	0.0757281553398058
