Clade	Mut	Percent
B.1	ZOther	0.351351351351351
B.1.1	ZOther	0.327586206896552
B.1.2	ZOther	0.373563218390805
B.1.177	ZOther	0.373333333333333
B.1.429	ZOther	0
B.1.351	ZOther	0
B.1.1.7	ZOther	0.373949579831933
B.1.526	ZOther	0
P.1	ZOther	0
AY.26	ZOther	0
AY.5	ZOther	0
AY.4	ZOther	0.377239199157007
AY.122	ZOther	0.352941176470588
AY.98	ZOther	0
AY.44	ZOther	0.351254480286738
AY.47	ZOther	0
AY.25	ZOther	0.359307359307359
AY.3	ZOther	0.330143540669856
AY.43	ZOther	0.448051948051948
AY.39	ZOther	0
AY.103	ZOther	0.363636363636364
AY.100	ZOther	0.294642857142857
BA.1	ZOther	0.469026548672566
BA.1.17	ZOther	0
BA.1.18	ZOther	0
BA.1.20	ZOther	0
BA.1.15	ZOther	0.37593984962406
BA.1.1.18	ZOther	0
BA.1.17.2	ZOther	0.37037037037037
BA.1.1	ZOther	0.364396654719235
BA.1.15.1	ZOther	0
BA.1.1.1	ZOther	0
BA.2.10	ZOther	0
BA.2.3	ZOther	0
BA.2.9	ZOther	0.387096774193548
BA.2	ZOther	0.362147406733394
BA.2.12.1	ZOther	0.297872340425532
BA.4	ZOther	0
BA.4.1	ZOther	0
BA.5	ZOther	0
BA.5.1	ZOther	0.457013574660633
BA.5.5	ZOther	0
BE.1	ZOther	0
BA.5.6	ZOther	0
BA.5.2.1	ZOther	0.391959798994975
BA.5.2	ZOther	0.523809523809524
BA.4.6	ZOther	0
