Clade	Mut	Percent
B.1	ZOther	0.247448979591837
B.1.1	ZOther	0.213541666666667
B.1.2	ZOther	0.265625
B.1.177	ZOther	0.258064516129032
B.1.429	ZOther	0
B.1.351	ZOther	0
B.1.1.7	ZOther	0.261425959780622
B.1.526	ZOther	0
P.1	ZOther	0
AY.26	ZOther	0
AY.5	ZOther	0.31404958677686
AY.4	ZOther	0.328947368421053
AY.122	ZOther	0.329317269076305
AY.98	ZOther	0
AY.44	ZOther	0.251028806584362
AY.47	ZOther	0
AY.25	ZOther	0.221719457013575
AY.3	ZOther	0.24188790560472
AY.43	ZOther	0.328767123287671
AY.39	ZOther	0.205882352941176
AY.103	ZOther	0.24486301369863
AY.100	ZOther	0.25974025974026
BA.1	ZOther	0.295302013422819
BA.1.17	ZOther	0
BA.1.18	ZOther	0
BA.1.20	ZOther	0
BA.1.15	ZOther	0.232558139534884
BA.1.1.18	ZOther	0
BA.1.17.2	ZOther	0.263636363636364
BA.1.1	ZOther	0.235714285714286
BA.1.15.1	ZOther	0
BA.1.1.1	ZOther	0
BA.2.10	ZOther	0
BA.2.3	ZOther	0.326923076923077
BA.2.9	ZOther	0.255813953488372
BA.2	ZOther	0.247375328083989
BA.2.12.1	ZOther	0.259475218658892
BA.4	ZOther	0
BA.4.1	ZOther	0
BA.5	ZOther	0
BA.5.1	ZOther	0.340740740740741
BA.5.5	ZOther	0
BE.1	ZOther	0
BA.5.6	ZOther	0
BA.5.2.1	ZOther	0.256880733944954
BA.5.2	ZOther	0.265432098765432
BA.4.6	ZOther	0
