Clade	Mut	Percent
B.1	ZOther	0.168122270742358
B.1.1	ZOther	0.186761229314421
B.1.2	ZOther	0.189252336448598
B.1.177	ZOther	0.177383592017738
B.1.429	ZOther	0.207547169811321
B.1.351	ZOther	0
B.1.1.7	ZOther	0.167815299793246
B.1.526	ZOther	0.202764976958525
P.1	ZOther	0.162921348314607
AY.26	ZOther	0.179640718562874
AY.5	ZOther	0.294326241134752
AY.4	ZOther	0.338344502807462
AY.122	ZOther	0.180555555555556
AY.98	ZOther	0.347578347578348
AY.44	ZOther	0.150527325023969
AY.47	ZOther	0.166666666666667
AY.25	ZOther	0.168115942028985
AY.3	ZOther	0.157347204161248
AY.43	ZOther	0.255464480874317
AY.39	ZOther	0.189189189189189
AY.103	ZOther	0.147746243739566
AY.100	ZOther	0.205047318611987
BA.1	ZOther	0.121452894438138
BA.1.17	ZOther	0
BA.1.18	ZOther	0
BA.1.20	ZOther	0
BA.1.15	ZOther	0.161417322834646
BA.1.1.18	ZOther	0.185185185185185
BA.1.17.2	ZOther	0.119148936170213
BA.1.1	ZOther	0.129943502824859
BA.1.15.1	ZOther	0.142857142857143
BA.1.1.1	ZOther	0
BA.2.10	ZOther	0
BA.2.3	ZOther	0.224043715846995
BA.2.9	ZOther	0.195071868583162
BA.2	ZOther	0.185241536705972
BA.2.12.1	ZOther	0.206552706552707
BA.4	ZOther	0.19047619047619
BA.4.1	ZOther	0.189024390243902
BA.5	ZOther	0
BA.5.1	ZOther	0.207070707070707
BA.5.5	ZOther	0.230769230769231
BE.1	ZOther	0
BA.5.6	ZOther	0.224299065420561
BA.5.2.1	ZOther	0.196759259259259
BA.5.2	ZOther	0.209631728045326
BA.4.6	ZOther	0.211382113821138
