Clade	Mut	Percent
B.1	ZOther	0.0146189735614308
B.1.1	ZOther	0.0168932038834951
B.1.2	ZOther	0.0154091053804521
B.1.177	ZOther	0.0149019114688129
B.1.429	ZOther	0.0270848182466144
B.1.351	ZOther	0.0424766018718503
B.1.1.7	ZOther	0.0283849338942975
B.1.526	ZOther	0.0310210444271239
P.1	ZOther	0.0477146042363434
AY.26	ZOther	0.0546325878594249
AY.5	ZOther	0.016782334384858
AY.4	ZOther	0.014373411418464
AY.122	ZOther	0.0210240545488983
AY.98	ZOther	0.0150667731994065
AY.44	ZOther	0.0359939515040233
AY.47	ZOther	0.0353692484034714
AY.25	ZOther	0.0370089488851813
AY.3	ZOther	0.0317901234567901
AY.43	ZOther	0.0175778264635451
AY.39	ZOther	0.0255337882456527
AY.103	ZOther	0.0348119290091814
AY.100	ZOther	0.0365045131400272
BA.1	ZOther	0.0143378352429111
BA.1.17	ZOther	0.0254737496116806
BA.1.18	ZOther	0.0266244057052298
BA.1.20	ZOther	0.0178294573643411
BA.1.15	ZOther	0.0210736669997275
BA.1.1.18	ZOther	0.0220791168353266
BA.1.17.2	ZOther	0.0174345455634773
BA.1.1	ZOther	0.0142049961558644
BA.1.15.1	ZOther	0.0178356230416968
BA.1.1.1	ZOther	0.0192180251822399
BA.2.10	ZOther	0.0260188087774295
BA.2.3	ZOther	0.0190374657325617
BA.2.9	ZOther	0.0229869606129856
BA.2	ZOther	0.0211187703373865
BA.2.12.1	ZOther	0.0163396197602504
BA.4	ZOther	0.0207641196013289
BA.4.1	ZOther	0.014780241151303
BA.5	ZOther	0.0183953033268102
BA.5.1	ZOther	0.018984337921215
BA.5.5	ZOther	0.0192397935241671
BE.1	ZOther	0.0168219461697723
BA.5.6	ZOther	0.0186629526462396
BA.5.2.1	ZOther	0.0162584001734229
BA.5.2	ZOther	0.0139009556907037
BA.4.6	ZOther	0.0189944134078212
