Clade	Mut	Percent
B.1	ZOther	0.373931623931624
B.1.1	ZOther	0.417391304347826
B.1.2	ZOther	0.442553191489362
B.1.177	ZOther	0.401639344262295
B.1.429	ZOther	0
B.1.351	ZOther	0
B.1.1.7	ZOther	0.390127388535032
B.1.526	ZOther	0
P.1	ZOther	0
AY.26	ZOther	0
AY.5	ZOther	0.364406779661017
AY.4	ZOther	0.325499412455934
AY.122	ZOther	0.303921568627451
AY.98	ZOther	0.35042735042735
AY.44	ZOther	0.34075723830735
AY.47	ZOther	0
AY.25	ZOther	0.34020618556701
AY.3	ZOther	0.356164383561644
AY.43	ZOther	0.366515837104072
AY.39	ZOther	0.387387387387387
AY.103	ZOther	0.344045368620038
AY.100	ZOther	0.326086956521739
BA.1	ZOther	0.472303206997085
BA.1.17	ZOther	0
BA.1.18	ZOther	0
BA.1.20	ZOther	0
BA.1.15	ZOther	0.5625
BA.1.1.18	ZOther	0
BA.1.17.2	ZOther	0.464088397790055
BA.1.1	ZOther	0.424173318129989
BA.1.15.1	ZOther	0
BA.1.1.1	ZOther	0
BA.2.10	ZOther	0
BA.2.3	ZOther	0
BA.2.9	ZOther	0.425149700598802
BA.2	ZOther	0.355311355311355
BA.2.12.1	ZOther	0.371710526315789
BA.4	ZOther	0
BA.4.1	ZOther	0
BA.5	ZOther	0
BA.5.1	ZOther	0.349315068493151
BA.5.5	ZOther	0
BE.1	ZOther	0
BA.5.6	ZOther	0
BA.5.2.1	ZOther	0.432432432432432
BA.5.2	ZOther	0.378571428571429
BA.4.6	ZOther	0
